Day,ukip,bf
11/18/16,15,4
11/19/16,13,2
11/20/16,16,3
11/21/16,19,4
11/22/16,28,4
11/23/16,15,5
11/24/16,19,4
11/25/16,13,4
11/26/16,10,5
11/27/16,15,3
11/28/16,100,4
11/29/16,42,2
11/30/16,25,3
12/1/16,20,4
12/2/16,27,3
12/3/16,29,5
12/4/16,28,2
12/5/16,24,2
12/6/16,22,2
12/7/16,19,3
12/8/16,18,2
12/9/16,16,2
12/10/16,12,2
12/11/16,10,2
12/12/16,14,2
12/13/16,13,3
12/14/16,14,4
12/15/16,12,7
12/16/16,11,4
12/17/16,8,4
12/18/16,13,3
12/19/16,9,3
12/20/16,16,2
12/21/16,16,3
12/22/16,14,2
12/23/16,12,2
12/24/16,12,3
12/25/16,10,2
12/26/16,11,2
12/27/16,9,1
12/28/16,8,1
12/29/16,8,1
12/30/16,11,2
12/31/16,8,1
1/1/17,13,3
1/2/17,10,2
1/3/17,9,2
1/4/17,9,1
1/5/17,10,3
1/6/17,9,3
1/7/17,11,3
1/8/17,20,3
1/9/17,16,4
1/10/17,13,3
1/11/17,12,1
1/12/17,10,3
1/13/17,12,1
1/14/17,11,2
1/15/17,11,3
1/16/17,11,2
1/17/17,14,3
1/18/17,13,2
1/19/17,16,2
1/20/17,13,4
1/21/17,20,2
1/22/17,18,2
1/23/17,12,2
1/24/17,17,3
1/25/17,13,2
1/26/17,13,3
1/27/17,16,2
1/28/17,15,2
1/29/17,15,2
1/30/17,18,3
1/31/17,12,4
2/1/17,17,4
2/2/17,16,3
2/3/17,16,4
2/4/17,12,4
2/5/17,14,4
2/6/17,19,5
2/7/17,17,5
2/8/17,16,3
2/9/17,17,5
2/10/17,12,6
2/11/17,13,4
2/12/17,16,4
2/13/17,17,3
2/14/17,27,3
